StudGrp	TimeCorrect	StudGitChange	InstrGitChange	Chapter
3	3	9	26	Business  
2	2	30	22	Business  
1	2	12	23	Business  
2	2	82	26	Business  
3	1	20	23	Business  
2	1	56	20	Business  
3	1	61	16	Business  
3	1	59	16	Business  
3	2	46	25	Clinical  
2	4	29	21	Ecommerce  
2	0	51	17	Edge Computing 
2	2	7	21	Education  
3	0	35	23	Education  
2	3	15	17	Energy  
3	3	93	21	Environment  
3	2	24	23	Environment  
2	0	35	17	Environment  
3	0	78	22	Government  
3	0	29	24	Government  
3	5	59	34	Health  
3	4	44	23	Health  
3	3	52	21	Health  
3	3	8	26	Health  
3	2	53	20	Health  
3	2	302	25	Health  
3	2	10	17	Health  
3	1	55	16	Health  
2	1	26	15	Health  
3	1	77	21	Health  
3	0	21	15	Health  
3	0	58	24	Health  
3	0	27	16	Lifestyle  
2	3	38	21	Machine Learning 
2	2	26	21	Machine Learning 
2	1	31	17	Machine Learning 
2	1	33	18	Machine Learning 
3	6	16	24	Media  
2	5	207	30	Media  
1	5	28	27	Media  
3	3	57	19	Media  
2	3	51	25	Media  
3	1	8	16	Media  
2	1	72	16	Media  
3	0	71	15	Media  
2	4	13	23	Natural Language Processing
2	4	26	26	None  
3	1	12	23	Physics  
2	3	26	19	Security  
3	2	22	22	Security  
3	1	21	18	Security  
2	1	10	18	Security  
3	0	95	16	Security  
1	0	0	16	Security  
2	6	13	31	Sports  
2	2	31	22	Sports  
3	2	25	17	Sports  
1	1	30	18	Sports  
2	0	36	14	Sports  
2	16	36	38	TBD  
3	1	0	17	TBD  
1	0	0	16	TBD  
3	11	39	31	Technology  
3	4	32	33	Technology  
2	4	23	25	Technology  
2	3	32	33	Technology  
3	3	33	42	Technology  
3	2	13	17	Technology  
3	2	27	25	Technology  
3	2	23	21	Technology  
3	1	27	27	Technology  
2	1	35	19	Technology  
3	1	58	32	Technology  
3	1	79	20	Technology  
1	0	25	18	Technology  
3	5	32	27	Theory  
1	2	50	19	Theory  
1	1	20	20	Theory  
2	4	67	21	Transportation  
3	1	35	18	Transportation  
