killed,pov15,emp15,ab100k15,mdhinc15,snap15,bagrad15,nohs2515,wbrat15,rural15,pop15
0,12.9,69.7,0.193028045,51281,13.8,23.2,0.128197362,4.143577315,0.428913485,55035
4,13.4,69.5,0.199435928,50254,9,29,0.104816753,9.001654657,0.415804192,203690
2,26.7,48.1,0.091628714,32964,26,12.5,0.266960868,1.01278285,0.662439767,26270
0,16.8,55.4,0.098192685,38678,15.8,10.6,0.193486467,3.575526207,0.760717069,22561
2,16.7,60.8,0.128795158,45813,13.5,12.9,0.21498173,62.08257919,0.900071168,57676
0,24.6,53.8,0.058919359,31938,23.1,13.9,0.351438559,0.376821192,0.650344981,10455
0,25.4,62.3,0.085774578,32229,23.5,14.5,0.221634753,1.230108247,0.72219992,20126
7,20.5,63.5,0.128980821,41703,20.3,17.6,0.190864041,3.666666667,0.323631519,115285
0,21.6,63.4,0.08515268,34177,16.8,11.6,0.210758377,1.430484787,0.469713009,34043
0,19.2,61.9,0.104717148,36296,18.5,13.8,0.204974912,18.8657299,0.880494252,25726
2,19.1,63.6,0.12545421,41627,17.7,14.1,0.215933768,8.133392226,0.868295466,43809
0,23.4,53.3,0.113542601,33536,24.7,11.8,0.235997483,1.290639545,1,13201
0,24.7,51.5,0.124402411,32011,18.9,12.9,0.194943951,1.183412656,0.767605634,24726
0,16.7,61,0.077505075,35327,16.4,9.6,0.249292082,5.636780438,1,13495
0,17,64.5,0.112707756,38056,15.3,12.1,0.248560461,31.8959276,1,14996
0,17.1,64.6,0.195302714,46729,13.5,23.9,0.153522516,4.424849926,0.482534707,51063
3,17.4,62.8,0.116825797,40576,16.6,18.6,0.161439697,5.108634112,0.438659834,54295
1,33.8,46.7,0.050503096,24900,27.9,8.2,0.219090399,1.166550765,0.828986325,12597
0,19.3,50.5,0.05011236,31212,17.4,8.5,0.259286961,2.194739953,1,10687
1,20.2,61.2,0.111044217,36444,16.4,14.3,0.201851152,6.477599838,0.705826119,37661
1,16.7,64.5,0.11424856,36022,18.8,14.3,0.220465019,3.041196216,1,13876
1,18.5,63.6,0.108415636,38971,14.1,14.6,0.181539455,80.37136929,0.730420467,81858
2,19.1,59.6,0.136081607,45028,16.4,16.4,0.146127237,3.799959175,0.512369361,49370
